资料名称,资料类型,资料链接,能力主题,推荐程度,推荐理由,推荐人
《Designing Data-Intensive Applications》,书籍,,【技术-数据】实时数据流与AI集成,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Apache Kafka官方文档,在线课程/官方文档,https://kafka.apache.org/documentation/,【技术-数据】实时数据流与AI集成,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Apache Flink官方文档,在线课程/官方文档,https://nightlies.apache.org/flink/flink-docs-stable/,【技术-数据】实时数据流与AI集成,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《DAMA-DMBOK: Data Management Body of Knowledge》,书籍,,【技术-数据】面向AI的数据治理,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Google Cloud Skills Boost《Introduction to Responsible AI》(免费),在线课程/官方文档,https://www.cloudskillsboost.google,【技术-数据】面向AI的数据治理,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Neo4j GraphAcademy（免费课程）,在线课程/官方文档,https://graphacademy.neo4j.com,【技术-数据】业务知识建模与知识图谱构建,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《AI Engineering: Building Applications with Foundation Models》,书籍,,【技术-平台】LLMOps平台设计与模型全生命周期管理,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
DeepLearning.AI × Google Cloud《LLMOps》,在线课程/官方文档,https://www.deeplearning.ai/short-courses/llmops/,【技术-平台】LLMOps平台设计与模型全生命周期管理,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
DeepLearning.AI《Automated Testing for LLMOps》,文章/其他资料,https://learn.deeplearning.ai/courses/automated-testing-llmops/information,【技术-平台】LLMOps平台设计与模型全生命周期管理,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
"《AI Agents in Action, Second Edition》",书籍,,【技术-平台】AgentOS平台搭建与Agent运行时,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Model Context Protocol官方文档,在线课程/官方文档,https://modelcontextprotocol.io,【技术-平台】AgentOS平台搭建与Agent运行时,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
LangGraph官方文档,在线课程/官方文档,https://langchain-ai.github.io/langgraph/,【技术-平台】AgentOS平台搭建与Agent运行时,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《AI Engineering: Building Applications with Foundation Models》,书籍,,【技术-平台】模型推理优化与加速（量化/推理服务）,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
vLLM官方文档,在线课程/官方文档,https://docs.vllm.ai,【技术-平台】模型推理优化与加速（量化/推理服务）,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《Site Reliability Engineering》,书籍,,【技术-平台】AI基础设施运维与可观测性（SRE for AI）,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Google SRE Books官方网站,在线课程/官方文档,https://sre.google/books/,【技术-平台】AI基础设施运维与可观测性（SRE for AI）,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《AI Risk Management Framework》,书籍,,【技术-平台】AI安全治理与AI Governance,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
NIST AI RMF官网,在线课程/官方文档,https://www.nist.gov/itl/ai-risk-management-framework,【技术-平台】AI安全治理与AI Governance,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Anthropic Responsible Scaling Policy,在线课程/官方文档,https://www.anthropic.com/rsp,【技术-平台】AI安全治理与AI Governance,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《AI Product Management》,书籍,,【产品】AI产品需求分析与场景探索,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
O'Reilly图书页,在线课程/官方文档,https://www.oreilly.com/library/view/ai-product-management/0642572251048/,【产品】AI产品需求分析与场景探索,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Duke University《AI Product Management》Specialization(Coursera),在线课程/官方文档,https://www.classcentral.com/course/ai-product-management-duke-89505,【产品】AI产品需求分析与场景探索,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《AI Product Management》,书籍,,【产品】AI产品设计与人机协作交互设计,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Google People + AI Research (PAIR) Guidebook,在线课程/官方文档,https://pair.withgoogle.com/guidebook,【产品】AI产品设计与人机协作交互设计,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《AI Product Management》,书籍,,【产品】快速原型验证与Vibe Coding,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Cursor官方文档,在线课程/官方文档,https://docs.cursor.com,【产品】快速原型验证与Vibe Coding,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《Evals for AI Engineers》,书籍,,【测试】AI辅助测试工程与LLM/Agent测试评估,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Maven课程《AI Evals For Engineers & PMs》,在线课程/官方文档,https://maven.com/parlance-labs/evals,【测试】AI辅助测试工程与LLM/Agent测试评估,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Arize AI《The Definitive Guide to LLM Evaluation》,文章/其他资料,https://arize.com/llm-evaluation/,【测试】AI辅助测试工程与LLM/Agent测试评估,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《People + AI Guidebook》,书籍,,【测试】AI系统专项质量验证（对抗测试/偏见检测/可解释性）,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Google PAIR Guidebook,在线课程/官方文档,https://pair.withgoogle.com/guidebook,【测试】AI系统专项质量验证（对抗测试/偏见检测/可解释性）,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
NIST AI RMF,在线课程/官方文档,https://www.nist.gov/itl/ai-risk-management-framework,【测试】AI系统专项质量验证（对抗测试/偏见检测/可解释性）,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
DeepLearning.AI《Automated Testing for LLMOps》,在线课程/官方文档,https://www.deeplearning.ai/short-courses/automated-testing-llmops,【测试】智能质量门禁与测试左移,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
PMI《Artificial Intelligence in Project Management》官方学习中心,在线课程/官方文档,https://www.pmi.org/learning/ai-in-project-management,【项目管理】AI辅助项目管理与项目管理数字化工具,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
PMI《Generative AI Overview for Project Managers》,在线课程/官方文档,https://www.pmi.org/shop/p-/elearning/generative-ai-overview-for-project-managers/el083,【项目管理】AI辅助项目管理与项目管理数字化工具,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
PMI-CPMAI认证学习路径,在线课程/官方文档,https://www.pmi.org/learning/ai-in-project-management,【项目管理】AI项目组合管理与数据驱动决策,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《BPMN Method and Style》,书籍,,【FDE】业务流程建模与重构（价值流/业务本体/知识管理等),⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
OMG BPMN官方规范,在线课程/官方文档,https://www.omg.org/spec/BPMN,【FDE】业务流程建模与重构（价值流/业务本体/知识管理等),⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《AI Engineering: Building Applications with Foundation Models》,书籍,,【FDE】AI应用生产部署与交付实施,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
vLLM官方文档,在线课程/官方文档,https://docs.vllm.ai,【FDE】AI应用生产部署与交付实施,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《Leading Change》,书籍,,【FDE】流程变革推动与变革管理,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
本体驱动的AI数据管理,书籍,https://baike.baidu.com/item/%E6%9C%AC%E4%BD%93%E9%A9%B1%E5%8A%A8%E7%9A%84AI%E6%95%B0%E6%8D%AE%E7%AE%A1%E7%90%86/67865910,【技术-数据】面向AI的数据治理,⭐⭐⭐,AI时代，数据管理已发生重大变化，基于本体驱动的AI数据管理将是未来的主要方向之一,张为普
Follow bulider,文章/其他资料,https://github.com/zarazhangrui/follow-builders,【全员通用】通用AI素养与AI Fluency 4D框架,⭐⭐⭐,本人订阅了部分在 AI 领域活跃度较高的博主或行业资深人士的相关资讯。,邱娟
RTK,在线课程/官方文档,https://github.com/rtk-ai/rtk,【全员通用】知识工程与Context管理,⭐⭐⭐,能减少token消耗,许巍
针对奔驰研发客户出的《Core Function AI提效》6周培训课,文章/其他资料,https://inspiregroup.feishu.cn/drive/folder/RoDTfZuiKlg5tkdvWsec1yRZnk9,"【全员通用】Prompt工程基础与进阶, 【全员通用】知识工程与Context管理, 【技术-应用】Agent系统设计与多智能体架构, 【技术-平台】AI安全治理与AI Governance",⭐⭐⭐,这个是针对奔驰客户出的，目前还不能直接拿去给其他客户，需要脱敏。资料目前只做了3期，需要可以联系我。,张帅
《Hands-On Large Language Models》,书籍,https://www.oreilly.com/library/view/hands-on-large-language/9781098150969/,【全员通用】通用AI素养与AI Fluency 4D框架,⭐⭐⭐⭐,"构建对transformers与embeddings如何处理文本的""可视直觉""。Jay Alammar以机器学习可视化指南闻名，本书把这种可视方法贯穿LLM全生命周期，把抽象数学讲得很""落地""。",张娜
《LLM Engineer's Handbook》,书籍,https://www.packtpub.com/en-US/product/llm-engineers-handbook-9781836200079,"【技术-应用】AI辅助开发(架构设计,  编码与代码审查等)",⭐⭐⭐⭐,动手实现完整的数据与fine-tuning生命周期。手把手带你构建开源系统LLM Twin，从数据收集到模型部署的完整生命周期。你会学到SFT与preference alignment的实用差异，以及parameter-efficient fine-tuning。,张娜
《Designing Multi-Agent Systems》,书籍,https://www.manning.com/books/designing-multi-agent-systems,【技术-应用】Agent系统设计与多智能体架构,⭐⭐⭐⭐,从零学习agent architecture的第一性原理。Victor Dibia是微软首席研究员、AutoGen Studio作者，本书走first-principles路子：从零实现feature-complete的agent库。覆盖collaboration、observability、interruptibility等模式。,张娜
《Building Agentic AI》,书籍,https://www.informit.com/store/building-agentic-ai-workflows-fine-tuning-optimization-9780135489772,【技术-应用】Agent系统设计与多智能体架构,⭐⭐⭐⭐,为企业环境优化agent workflows。Sinan Ozdemir带你超越基本chatbots，构建能产生可量化业务价值的autonomous agents。覆盖multimodal AI、quantization、speculative decoding等优化。,张娜
《Agentic AI Engineering》,书籍,https://argolong.com/agentic-engineering-book,【技术-应用】AI系统与Agent评估监测,⭐⭐⭐⭐,"让agents扛住真实世界与合规审计。Yi Zhou提出Agentic Stack、Agentic Maturity Ladder、Trust Envelope。你会为""运动中的信任""而工程化——让系统在不确定中推理、又能负责任地自适应。",张娜
《LLMOps: Managing Large Language Models in Production》,书籍,https://www.oreilly.com/library/view/llmops/9781098154165/,【技术-平台】LLMOps平台设计与模型全生命周期管理,⭐⭐⭐⭐,"在真金白银场景下让LLM systems平稳运行。Abi Aryan讲清新的LLMOps学科：如何处理prompt drift、如何运行automated regression tests。传统MLOps面对generative AI会""土崩瓦解""。",张娜
《AI Systems Performance Engineering》,书籍,,【技术-平台】模型推理优化与加速（量化/推理服务）,⭐⭐⭐⭐,在hardware、software、algorithms三层做硬核优化。Chris Fregly深入GPU memory management、CUDA kernels与基于PyTorch的算法。你会学会profile、诊断并清除复杂AI pipelines的performance bottlenecks。,张娜
《Generative AI Design Patterns》,书籍,,【技术-应用】LLM应用技术选型与架构设计,⭐⭐⭐⭐,32个成熟的设计模式，直击你每天遇到的挑战：hallucinations、nondeterministic responses、knowledge cutoffs。每个pattern都描述特定问题、给出带代码的验证解，并讨论取舍。你和团队会拥有共享词汇。,张娜
《Mastering Retrieval-Augmented Generation》,书籍,,【技术-数据】语义检索系统设计与RAG,⭐⭐⭐⭐,把RAG从周末原型扩到企业级生产系统。Ranajoy Bose系统讲解document processing与vector optimization的成熟技巧，覆盖graph-based approaches与multi-modal systems等高级检索策略。你会学到如何fine-tune embedding models。,张娜
《System Design For Large Language Models》,书籍,,【技术-应用】LLM应用技术选型与架构设计,⭐⭐⭐⭐,"把prompts当成""严肃的系统边界""，而非""文案活儿""。Marc Rolland构建严谨的systems框架，汲取systems engineering、safety analysis、control theory的方法。你会打造让failure""可被观测""的observability mechanisms。",张娜
Anthropic Official Blog,文章/其他资料,https://claude.com/blog,,⭐⭐⭐⭐,Anthropic 作为全球领先的 AI 实验室，其官方博客是获取最新前沿资讯和企业级 AI 使用最佳实践的便捷渠道。,李渊
tw93 撰写的系列文章,文章/其他资料,https://tw93.fun/2026-03-21/agent.html,【全员通用】通用AI素养与AI Fluency 4D框架,⭐⭐⭐⭐,Tw93 写了三篇，一篇比一篇深：非技术人怎么上手 AI Coding → Claude Code 怎么工程化地用 → Agent 原理和架构。实战踩坑多，不是那种空讲趋势的文章。,
